epoch,logged_epoch,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/BrownSpot,val/AP/Healthy,val/AP/Hispa,val/AP/LeafBlast,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
1949,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
1999,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2049,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2092,6.0,1298.8612060546875,1298.9093017578125,1298.897216796875,1298.684814453125,1298.9117431640625,12.76736831665039,21.668310165405273,0.04271281883120537,0.0650375634431839,0.056638628244400024,0.047866709530353546,0.1040806844830513,0.6760892271995544,0.7519422769546509,0.7280520796775818,0.706466794013977,0.7307841777801514,0.051897525787353516,0.08115691691637039,0.07162198424339294,0.05910324677824974,0.1280277520418167,0.02630632184445858,0.029326653108000755,0.027736593037843704,0.026634443551301956,0.03274143859744072,0.022720618173480034,0.026009216904640198,0.023968178778886795,0.02224062569439411,0.029583603143692017,,,,0.7906292676925659,0.7724807262420654,0.7963283658027649,0.6684473156929016,0.7201797962188721,0.8145691156387329,0.7859947681427002,0.955767035484314,0.7532444000244141,0.7383955717086792,21.61654281616211,0.7910954356193542,0.7569714188575745,0.7701436281204224,0.9492697715759277,0.7642645835876465,0.6855080127716064,0.7371641397476196,0.7193735241889954
2099,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2149,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2199,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2249,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2299,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2349,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
2391,7.0,1298.8917236328125,1298.91259765625,1298.9080810546875,1298.85791015625,1298.9139404296875,10.653094291687012,20.45635223388672,0.03796829655766487,0.06334161013364792,0.05483737215399742,0.043487321585416794,0.10017140954732895,0.6340140104293823,0.6997672915458679,0.6805290579795837,0.6718358993530273,0.6979882121086121,0.046770162880420685,0.07838495075702667,0.0683567002415657,0.05417143180966377,0.12223396450281143,0.025030897930264473,0.02774510718882084,0.02630755491554737,0.025553137063980103,0.03286038339138031,0.02195335552096367,0.024959957227110863,0.022289671003818512,0.02185787260532379,0.030805431306362152,,,,0.7897936105728149,0.7859751582145691,0.8191455006599426,0.7309244275093079,0.7051093578338623,0.8151514530181885,0.7875272631645203,0.9599454402923584,0.7579447031021118,0.7417192459106445,21.971755981445312,0.8234206438064575,0.7814596891403198,0.7863766551017761,0.9589824676513672,0.754931628704071,0.673035204410553,0.7591873407363892,0.7356353402137756
